Taxon	C4.1.A	C4.1.Ce	C4.1.DC	C4.1.IL	C4.1.MC	C4.1.PC	C4.3.A	C4.3.Ce	C4.3.DC	C4.3.IL	C4.3.MC	C4.3.PC
Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000937207122774	0.00114766641163	0.0	0.0
Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Other	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000382555470543	0.0	0.0
Bacteria;Actinobacteria;Actinobacteria;Coriobacteriales;Coriobacteriaceae;Asaccharobacter	0.000434216239687	0.000543773790103	0.0032414910859	0.0	0.0010395010395	0.000239005736138	0.000585480093677	0.00144248106744	0.0	0.00344299923489	0.00101902173913	0.0019749835418
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides	0.00173686495875	0.0	0.0032414910859	0.0	0.0010395010395	0.000478011472275	0.018149882904	0.00829426613776	0.0332708528585	0.00153022188217	0.0197010869565	0.00625411454905
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Other;Other	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000339673913043	0.0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Barnesiella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Other	0.000434216239687	0.0	0.0	0.0	0.0	0.000717017208413	0.0	0.0	0.0	0.0	0.0	0.000329163923634
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Parabacteroides	0.000434216239687	0.0	0.00108049702863	0.0	0.000519750519751	0.0	0.0128805620609	0.00757302560404	0.0299906279288	0.0	0.0132472826087	0.00559578670178
Bacteria;Deferribacteres;Deferribacteres;Deferribacterales;Deferribacteraceae;Mucispirillum	0.00173686495875	0.00108754758021	0.00162074554295	0.000278164116829	0.0	0.0	0.000585480093677	0.000360620266859	0.0	0.0	0.0	0.000329163923634
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus	0.0629613547547	0.117998912452	0.521339816316	0.886509040334	0.357588357588	0.248326959847	0.100702576112	0.148936170213	0.571696344892	0.559296097934	0.56691576087	0.210664911126
