Taxon	B1.3.A	B1.3.Ce	B1.3.DC	B1.3.IL	B1.3.MC	B1.3.PC	B4.2.A	B4.2.Ce	B4.2.DC	B4.2.MC	B4.2.PC	B5.3.A	B5.3.Ce	B5.3.DC	B5.3.IL	B5.3.MC	B5.3.PC
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Anaerotruncus	0.0	0.0	0.0	0.0	0.0	0.000208463623098	0.0	0.0	0.0	0.0	0.00135869565217	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Lactonifactor	0.000797448165869	0.00115874855156	0.0	0.0	0.0	0.000625390869293	0.00227790432802	0.0	0.000991080277502	0.0	0.0	0.000735294117647	0.0	0.0	0.0	0.000776397515528	0.0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillibacter	0.0255183413078	0.026651216686	0.0013037809648	0.0	0.0017873100983	0.0137585991245	0.0116742596811	0.037037037037	0.000991080277502	0.00783289817232	0.0163043478261	0.0227941176471	0.0148232611174	0.00116890707189	0.0	0.000776397515528	0.0188866799205
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Other	0.0422647527911	0.0446118192352	0.00521512385919	0.0	0.011617515639	0.0304356889723	0.0418564920273	0.0601851851852	0.01585728444	0.0130548302872	0.0597826086957	0.0632352941176	0.0410490307868	0.00759789596727	0.000472813238771	0.0100931677019	0.0318091451292
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus	0.00478468899522	0.00289687137891	0.00521512385919	0.00033411293017	0.00536193029491	0.00145924536168	0.00170842824601	0.0	0.001982160555	0.00261096605744	0.00271739130435	0.00220588235294	0.00114025085519	0.00233781414378	0.0	0.0	0.000994035785288
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Sporobacter	0.000797448165869	0.000579374275782	0.0013037809648	0.0	0.0	0.0	0.000284738041002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes;Clostridia;Other;Other;Other	0.0	0.000579374275782	0.0	0.0	0.0	0.0	0.000284738041002	0.0	0.0	0.0	0.0	0.000735294117647	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;Allobaculum	0.0	0.000579374275782	0.0026075619296	0.00400935516204	0.000893655049151	0.000625390869293	0.0	0.0	0.000991080277502	0.0	0.0	0.0	0.0	0.000584453535944	0.0	0.000776397515528	0.0
Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;Coprobacillus	0.00159489633174	0.00115874855156	0.00391134289439	0.000668225860341	0.00268096514745	0.00375234521576	0.00569476082005	0.00462962962963	0.00693756194252	0.00261096605744	0.00271739130435	0.000735294117647	0.0	0.00175336060783	0.0	0.0	0.00198807157058
Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;Holdemania	0.000797448165869	0.0	0.0013037809648	0.00033411293017	0.0	0.0	0.00711845102506	0.0	0.0109018830525	0.00261096605744	0.0135869565217	0.0	0.0	0.00292226767972	0.0	0.000776397515528	0.0
Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;Other	0.0	0.00173812282735	0.0	0.0	0.0	0.000416927246196	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;Turicibacter	0.00318979266348	0.00115874855156	0.0182529335072	0.0223855663214	0.00804289544236	0.00833854492391	0.0	0.0	0.0	0.0	0.00135869565217	0.00147058823529	0.0	0.00116890707189	0.00661938534279	0.00465838509317	0.00198807157058
Bacteria;Firmicutes;Other;Other;Other;Other	0.00398724082935	0.00695249130939	0.0143415906128	0.00634814567324	0.00625558534406	0.0108401084011	0.00740318906606	0.00462962962963	0.00594648166501	0.00522193211488	0.0	0.00367647058824	0.0125427594071	0.0052600818235	0.00236406619385	0.00854037267081	0.00894632206759
Bacteria;Other;Other;Other;Other;Other	0.00717703349282	0.00463499420626	0.00912646675359	0.00434346809222	0.0142984807864	0.0145924536168	0.0125284738041	0.00925925925926	0.0109018830525	0.0208877284595	0.00407608695652	0.00588235294118	0.00570125427594	0.00467562828755	0.00709219858156	0.00310559006211	0.00497017892644
Bacteria;Tenericutes;Mollicutes;Anaeroplasmatales;Anaeroplasmataceae;Anaeroplasma	0.0	0.0	0.0013037809648	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
