Taxon	B1.4.A	B1.4.Ce	B1.4.DC	B1.4.IL	B1.4.MC	B1.4.PC	B2.3.A	B2.3.Ce	B2.3.DC	B2.3.IL	B2.3.MC	B2.3.PC	B3.2.A	B3.2.Ce	B3.2.DC	B3.2.IL	B3.2.MC	B3.2.PC
Bacteria;Firmicutes;Clostridia;Other;Other;Other	0.0	0.0	0.0	0.0	0.0	0.000755001887505	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;Allobaculum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000512032770097	0.0	0.000503018108652	0.0	0.0	0.0	0.0	0.00178890876565	0.0
Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;Coprobacillus	0.00197628458498	0.00125156445557	0.00619408121129	0.000722804481388	0.00627802690583	0.00226500566251	0.0117073170732	0.0	0.0133064516129	0.00665642601126	0.0167235494881	0.0153420523139	0.00505415162455	0.00154479917611	0.00641025641026	0.000707213578501	0.00536672629696	0.000851788756388
Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;Holdemania	0.00197628458498	0.00125156445557	0.00172057811425	0.00108420672208	0.0	0.0	0.00878048780488	0.0	0.00766129032258	0.000512032770097	0.00238907849829	0.00251509054326	0.00216606498195	0.0010298661174	0.003663003663	0.0	0.00178890876565	0.00255536626917
Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;Other	0.0	0.000312891113892	0.000688231245699	0.000722804481388	0.000448430493274	0.0	0.000975609756098	0.0	0.00282258064516	0.0	0.00102389078498	0.000754527162978	0.00216606498195	0.00205973223481	0.00641025641026	0.000707213578501	0.00178890876565	0.00255536626917
Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;Turicibacter	0.0	0.0	0.00103234686855	0.0173473075533	0.0	0.0	0.00780487804878	0.00561097256858	0.0459677419355	0.175627240143	0.0283276450512	0.0389839034205	0.00216606498195	0.00926879505664	0.0119047619048	0.0544554455446	0.0161001788909	0.00340715502555
Bacteria;Firmicutes;Other;Other;Other;Other	0.0144927536232	0.0109511889862	0.00757054370268	0.00831225153596	0.00896860986547	0.0105700264251	0.00292682926829	0.0074812967581	0.0141129032258	0.000512032770097	0.0122866894198	0.0165995975855	0.0137184115523	0.0169927909372	0.0228937728938	0.016973125884	0.0125223613596	0.0178875638842
Bacteria;Fusobacteria;Fusobacteria;Fusobacteriales;Fusobacteriaceae;Fusobacterium	0.0	0.0	0.0	0.000722804481388	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Other;Other;Other;Other;Other	0.00395256916996	0.00156445556946	0.00240880935994	0.00216841344416	0.00358744394619	0.00226500566251	0.00390243902439	0.00498753117207	0.00846774193548	0.00153609831029	0.00580204778157	0.00804828973843	0.00938628158845	0.00823892893924	0.000915750915751	0.0021216407355	0.00357781753131	0.00255536626917
Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetaceae;Gemmata	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000251509054326	0.0	0.0	0.0	0.0	0.0	0.0
