Taxon	C2.3.A	C2.3.Ce	C2.3.DC	C2.3.IL	C2.3.MC	C2.3.PC	C3.2.A	C3.2.Ce	C3.2.DC	C3.2.IL	C3.2.MC	C3.2.PC
Bacteria;Firmicutes;Clostridia;Clostridiales;Other;Other	0.302919708029	0.289263947492	0.0625	0.049092131809	0.066862170088	0.261029411765	0.277405405405	0.246806497398	0.0918803418803	0.0236597783768	0.0726744186047	0.236605229318
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Sporacetigenium	0.000729927007299	0.0028129395218	0.00220588235294	0.0265635507734	0.00821114369501	0.00220588235294	0.00108108108108	0.00220785365084	0.0128205128205	0.0197663971249	0.00332225913621	0.00235747963995
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Anaerotruncus	0.000729927007299	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Butyricicoccus	0.0014598540146	0.0028129395218	0.000735294117647	0.000336247478144	0.0	0.00147058823529	0.000216216216216	0.00173474215423	0.000854700854701	0.0	0.0	0.00171453064724
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillibacter	0.00583941605839	0.0103141115799	0.000735294117647	0.000672494956288	0.00058651026393	0.00661764705882	0.011027027027	0.0105661567576	0.00299145299145	0.0	0.00207641196013	0.00578654093442
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Other	0.0605839416058	0.0285982184716	0.0139705882353	0.00201748486886	0.0105571847507	0.0375	0.0412972972973	0.0357987699101	0.0123931623932	0.000898472596586	0.00664451827243	0.0293613373339
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Papillibacter	0.000729927007299	0.0	0.0	0.0	0.0	0.0	0.000648648648649	0.000157703832203	0.0	0.0	0.0	0.0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus	0.0	0.00234411626817	0.000735294117647	0.0	0.0	0.0	0.000432432432432	0.000315407664406	0.0025641025641	0.0	0.000415282392027	0.000857265323618
Bacteria;Firmicutes;Clostridia;Other;Other;Other	0.0	0.0	0.00588235294118	0.000672494956288	0.0	0.0	0.0012972972973	0.00110392682542	0.0	0.0	0.00498338870432	0.000428632661809
Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;Allobaculum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000415282392027	0.0
Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;Coprobacillus	0.0036496350365	0.00375058602907	0.0139705882353	0.000336247478144	0.0146627565982	0.00220588235294	0.00172972972973	0.00236555748305	0.0153846153846	0.000299490865529	0.00581395348837	0.0049292756108
Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;Holdemania	0.0	0.0	0.00367647058824	0.0	0.00410557184751	0.00147058823529	0.00151351351351	0.00110392682542	0.00726495726496	0.000598981731057	0.00332225913621	0.000642948992713
Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;Other	0.0	0.000468823253633	0.00220588235294	0.000336247478144	0.00410557184751	0.00220588235294	0.00108108108108	0.000788519161016	0.00641025641026	0.0	0.0	0.000857265323618
Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;Turicibacter	0.0014598540146	0.00328176277543	0.0272058823529	0.0403496973773	0.0217008797654	0.00882352941176	0.00216216216216	0.00977763759659	0.0316239316239	0.068583408206	0.015365448505	0.0150021431633
Bacteria;Firmicutes;Other;Other;Other;Other	0.0043795620438	0.0121894045945	0.0147058823529	0.00268997982515	0.0275659824047	0.0176470588235	0.00713513513514	0.0111969720864	0.00555555555556	0.0248577418389	0.0107973421927	0.0120017145306
Bacteria;Other;Other;Other;Other;Other	0.000729927007299	0.000937646507267	0.00808823529412	0.0	0.00762463343109	0.0	0.00367567567568	0.00346948430847	0.0025641025641	0.000299490865529	0.00332225913621	0.00150021431633
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Parasutterella	0.000729927007299	0.0	0.00220588235294	0.0	0.00527859237537	0.0	0.0	0.000157703832203	0.0025641025641	0.000299490865529	0.000415282392027	0.000214316330904
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Escherichia/Shigella	0.0	0.0	0.0	0.00437121721587	0.0	0.0	0.0	0.0	0.00042735042735	0.0	0.0	0.0
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Other	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000157703832203	0.0	0.0	0.0	0.0
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Other	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00042735042735	0.0	0.0	0.0
Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae;Akkermansia	0.000729927007299	0.000468823253633	0.0	0.0	0.00058651026393	0.0	0.000216216216216	0.000315407664406	0.0	0.0	0.0	0.0
